iter	RMSE
0	31.38156287
1	31.27155477
2	31.1292842
3	31.01458154
4	30.91360435
5	30.79640683
6	30.68208708
7	30.56801075
8	30.46668882
9	30.35344044
10	30.26066515
11	30.18245984
12	30.09786031
13	30.02876504
14	29.89940156
15	29.77072027
16	29.64571189
17	29.55107521
18	29.44799992
19	29.36756093
20	29.24801357
21	29.154192
22	29.02900446
23	28.93088263
24	28.84242756
25	28.74433447
26	28.6575302
27	28.60131477
28	28.50881411
29	28.43391276
30	28.35300011
31	28.24977814
32	28.14737177
33	28.0875475
34	28.01655434
35	27.904142
36	27.83998937
37	27.75571151
38	27.6692513
39	27.58327593
40	27.50112057
41	27.41025067
42	27.3163616
43	27.21608944
44	27.14493271
45	27.04014396
46	26.95335242
47	26.87536907
48	26.78508225
49	26.70574566
50	26.6226898
51	26.53673601
52	26.49940121
53	26.41495688
54	26.31375967
55	26.21702386
56	26.13316622
57	26.03779375
58	25.97389581
59	25.88849881
60	25.81906565
61	25.7281048
62	25.64800737
63	25.5793951
64	25.50200411
65	25.41812465
66	25.32739876
67	25.27473848
68	25.1996191
69	25.12047595
70	25.05360706
71	24.99214794
72	24.92573488
73	24.85343985
74	24.82540437
75	24.75006891
76	24.67585459
77	24.60208159
78	24.53323674
79	24.47718232
80	24.42644225
81	24.35734473
82	24.2912093
83	24.22035161
84	24.15485278
85	24.08921059
86	24.0235992
87	23.97931433
88	23.91007207
89	23.83787713
90	23.7787548
91	23.70992919
92	23.67380622
93	23.60624228
94	23.54567961
95	23.48921004
96	23.42991475
97	23.38001358
98	23.32791168
99	23.28778503
100	23.2353826
101	23.16647684
102	23.11736522
103	23.06947353
104	23.01821404
105	22.96505904
106	22.92412723
107	22.89971989
108	22.85948526
109	22.79549799
110	22.74589449
111	22.68630335
112	22.65876967
113	22.61874442
114	22.57349821
115	22.52123241
116	22.46176239
117	22.40290075
118	22.34135399
119	22.28560073
120	22.22387679
121	22.16562352
122	22.11898146
123	22.06563025
124	22.00206099
125	21.94114663
126	21.88855275
127	21.83507322
128	21.79563933
129	21.75266725
130	21.69965064
131	21.64467223
132	21.59451853
133	21.54313375
134	21.49693072
135	21.44909366
136	21.38855702
137	21.3445198
138	21.2919242
139	21.24304932
140	21.22140716
141	21.17666102
142	21.13217431
143	21.07751245
144	21.02659445
145	20.98950135
146	20.9509669
147	20.9123983
148	20.87426567
149	20.8467928
150	20.80127459
151	20.75708909
152	20.71791885
153	20.67099629
154	20.63742213
155	20.59384294
156	20.54988396
157	20.51177051
158	20.46589
159	20.42532523
160	20.37878018
161	20.34962166
162	20.31200379
163	20.29806358
164	20.26510873
165	20.21431044
166	20.18199601
